Country,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,history,lower,average,upper,ISO,Population
Nepal,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,NPL,29136808.0
Nepal,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,NPL,29136808.0
Nepal,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,,,,NPL,29136808.0
Nepal,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-18,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-19,3.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-20,3.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-21,3.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-22,3.0,3.0,2.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.432084942180352e-08,,,,NPL,29136808.0
Nepal,2020-03-23,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,6.864169884360703e-08,,,,NPL,29136808.0
Nepal,2020-03-24,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,6.864169884360703e-08,,,,NPL,29136808.0
Nepal,2020-03-25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0296254826541054e-07,,,,NPL,29136808.0
Nepal,2020-03-26,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0296254826541054e-07,,,,NPL,29136808.0
Nepal,2020-03-27,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.372833976872141e-07,,,,NPL,29136808.0
Nepal,2020-03-28,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.7160424710901756e-07,,,,NPL,29136808.0
Nepal,2020-03-29,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.7160424710901756e-07,,,,NPL,29136808.0
Nepal,2020-03-30,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.7160424710901756e-07,,,,NPL,29136808.0
Nepal,2020-03-31,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.7160424710901756e-07,,,,NPL,29136808.0
Nepal,2020-04-01,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.7160424710901756e-07,,,,NPL,29136808.0
Nepal,2020-04-02,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0592509653082109e-07,,,,NPL,29136808.0
Nepal,2020-04-03,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0592509653082109e-07,,,,NPL,29136808.0
Nepal,2020-04-04,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.088876447962316e-07,,,,NPL,29136808.0
Nepal,2020-04-05,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.088876447962316e-07,,,,NPL,29136808.0
Nepal,2020-04-06,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.088876447962316e-07,,,,NPL,29136808.0
Nepal,2020-04-07,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.088876447962316e-07,,,,NPL,29136808.0
Nepal,2020-04-08,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.088876447962316e-07,,,,NPL,29136808.0
Nepal,2020-04-09,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.088876447962316e-07,,,,NPL,29136808.0
Nepal,2020-04-10,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.088876447962316e-07,,,,NPL,29136808.0
Nepal,2020-04-11,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.088876447962316e-07,,,,NPL,29136808.0
Nepal,2020-04-12,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,4.1185019306164217e-07,,,,NPL,29136808.0
Nepal,2020-04-13,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,4.804918919052492e-07,,,,NPL,29136808.0
Nepal,2020-04-14,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,5.491335907488563e-07,,,,NPL,29136808.0
Nepal,2020-04-15,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,5.491335907488563e-07,,,,NPL,29136808.0
Nepal,2020-04-16,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,5.491335907488563e-07,,,,NPL,29136808.0
Nepal,2020-04-17,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0296254826541057e-06,,,,NPL,29136808.0
Nepal,2020-04-18,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.063946332075909e-06,,,,NPL,29136808.0
Nepal,2020-04-19,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.063946332075909e-06,,,,NPL,29136808.0
Nepal,2020-04-20,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.063946332075909e-06,,,,NPL,29136808.0
Nepal,2020-04-21,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.475796525137551e-06,,,,NPL,29136808.0
Nepal,2020-04-22,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.544438223981158e-06,,,,NPL,29136808.0
Nepal,2020-04-23,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.647400772246569e-06,,,,NPL,29136808.0
Nepal,2020-04-24,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.6817216216683722e-06,,,,NPL,29136808.0
Nepal,2020-04-25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.6817216216683722e-06,,,,NPL,29136808.0
Nepal,2020-04-26,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.7846841699337828e-06,,,,NPL,29136808.0
Nepal,2020-04-27,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.7846841699337828e-06,,,,NPL,29136808.0
Nepal,2020-04-28,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.8533258687773896e-06,,,,NPL,29136808.0
Nepal,2020-04-29,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.9562884170428e-06,,,,NPL,29136808.0
Nepal,2020-04-30,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.9562884170428e-06,,,,NPL,29136808.0
Nepal,2020-05-01,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0249301158864072e-06,,,,NPL,29136808.0
Nepal,2020-05-02,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0249301158864072e-06,,,,NPL,29136808.0
Nepal,2020-05-03,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.574063706635264e-06,,,,NPL,29136808.0
Nepal,2020-05-04,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.574063706635264e-06,,,,NPL,29136808.0
Nepal,2020-05-05,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.814309652587888e-06,,,,NPL,29136808.0
Nepal,2020-05-06,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.397764092758548e-06,,,,NPL,29136808.0
Nepal,2020-05-07,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.4664057916021548e-06,,,,NPL,29136808.0
Nepal,2020-05-08,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.5007266410239585e-06,,,,NPL,29136808.0
Nepal,2020-05-09,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.7752934363983854e-06,,,,NPL,29136808.0
